                27ceni.out                                          2012/04/28

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  60 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   0.93931   0.34782
  2   1.00000   1.33847   0.33117
  3   2.00000   1.73724   0.31503
  4   3.00000   2.13561   0.29942
  5   4.00000   2.53358   0.28435
  6   5.00000   2.93116   0.26983
  7   6.00000   3.32834   0.25588
  8   7.00000   3.72512   0.24252
  9   8.00000   4.12151   0.22976
 10   9.00000   4.51751   0.21764
 11  10.00000   4.91311   0.20618
 12  11.00000   5.30831   0.19539
 13  12.00000   5.70311   0.18532
 14  13.00000   6.09753   0.17599
 15  14.00000   6.49154   0.16742
 16  15.00000   6.88516   0.15965
 17  16.00000   7.27838   0.15269
 18  17.00000   7.67121   0.14657
 19  18.00000   8.06364   0.14129
 20  19.00000   8.45568   0.13686
 21  20.00000   8.84732   0.13326
 22  21.00000   9.23856   0.13046
 23  22.00000   9.62941   0.12842
 24  23.00000  10.01987   0.12709
 25  24.00000  10.40992   0.12640
 26  25.00000  10.79958   0.12628
 27  26.00000  11.18885   0.12665
 28  27.00000  11.57772   0.12744
 29  28.00000  11.96619   0.12856
 30  29.00000  12.35427   0.12994
 31  30.00000  12.74195   0.13151
 32  31.00000  13.12924   0.13320
 33  32.00000  13.51613   0.13496
 34  33.00000  13.90263   0.13674
 35  34.00000  14.28872   0.13849
 36  35.00000  14.67443   0.14018
 37  36.00000  15.05974   0.14176
 38  37.00000  15.44465   0.14321
 39  38.00000  15.82916   0.14450
 40  39.00000  16.21328   0.14562
 41  40.00000  16.59701   0.14654
 42  41.00000  16.98034   0.14725
 43  42.00000  17.36327   0.14774
 44  43.00000  17.74581   0.14800
 45  44.00000  18.12795   0.14802
 46  45.00000  18.50969   0.14779
 47  46.00000  18.89104   0.14732
 48  47.00000  19.27200   0.14660
 49  48.00000  19.65255   0.14563
 50  49.00000  20.03271   0.14441
 51  50.00000  20.41248   0.14296
 52  51.00000  20.79185   0.14128
 53  52.00000  21.17083   0.13938
 54  53.00000  21.54941   0.13727
 55  54.00000  21.92759   0.13497
 56  55.00000  22.30538   0.13250
 57  56.00000  22.68277   0.12990
 58  57.00000  23.05976   0.12718
 59  58.00000  23.43636   0.12439
 60  59.00000  23.81257   0.12157
 61  60.00000  24.18838   0.11877
 62  61.00000  24.56379   0.11607
 63  62.00000  24.93880   0.11352
 64  63.00000  25.31343   0.11122
 65  64.00000  25.68765   0.10926
 66  65.00000  26.06148   0.10773
 67  66.00000  26.43491   0.10676
 68  67.00000  26.80795   0.10644
 69  68.00000  27.18059   0.10688
 70  69.00000  27.55284   0.10817
 71  70.00000  27.92469   0.11039
 72  71.00000  28.29614   0.11359
 73  72.00000  28.66720   0.11779
 74  73.00000  29.03787   0.12299
 75  74.00000  29.40813   0.12919
 76  75.00000  29.77800   0.13634
 77  76.00000  30.14748   0.14440
 78  77.00000  30.51656   0.15333
