                14ceni.out                                          2007/06/24

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 53  52.00000  26.11176   0.38318
 54  53.00000  26.63089   0.41734
 55  54.00000  27.15021   0.45326



  Hydro (N) 34/8-1                        

 WELL #  4 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   0.90045   0.37724
  2   1.00000   1.31957   0.34716
  3   2.00000   1.74607   0.31873
  4   3.00000   2.17995   0.29201
  5   4.00000   2.62122   0.26709
  6   5.00000   3.06987   0.24409
  7   6.00000   3.52591   0.22312
  8   7.00000   3.98933   0.20434
  9   8.00000   4.46014   0.18789
 10   9.00000   4.93833   0.17391
 11  10.00000   5.42390   0.16253
 12  11.00000   5.91686   0.15380
 13  12.00000   6.41720   0.14766
 14  13.00000   6.92492   0.14396
 15  14.00000   7.44003   0.14242
 16  15.00000   7.96252   0.14266
 17  16.00000   8.49240   0.14430
 18  17.00000   9.02966   0.14691
 19  18.00000   9.57431   0.15012
 20  19.00000  10.12634   0.15363
 21  20.00000  10.68575   0.15715
 22  21.00000  11.25255   0.16047
 23  22.00000  11.82673   0.16343
 24  23.00000  12.40830   0.16589
 25  24.00000  12.99725   0.16774
 26  25.00000  13.59358   0.16893
 27  26.00000  14.19730   0.16939
 28  27.00000  14.80840   0.16909
 29  28.00000  15.42689   0.16802
 30  29.00000  16.05276   0.16618
 31  30.00000  16.68601   0.16358
 32  31.00000  17.32665   0.16026
 33  32.00000  17.97467   0.15629
 34  33.00000  18.63008   0.15174
 35  34.00000  19.29287   0.14675
 36  35.00000  19.96304   0.14148
 37  36.00000  20.64060   0.13615
 38  37.00000  21.32554   0.13107
 39  38.00000  22.01787   0.12661
 40  39.00000  22.71758   0.12323
 41  40.00000  23.42467   0.12148
 42  41.00000  24.13915   0.12189
 43  42.00000  24.86101   0.12495
 44  43.00000  25.59026   0.13099
 45  44.00000  26.32689   0.14014
 46  45.00000  27.07090   0.15234
 47  46.00000  27.82230   0.16741
 48  47.00000  28.58109   0.18511
 49  48.00000  29.34725   0.20520
 50  49.00000  30.12080   0.22748
 51  50.00000  30.90174   0.25174
 52  51.00000  31.69006   0.27786
 53  52.00000  32.48576   0.30571
 54  53.00000  33.28885   0.33520
 55  54.00000  34.09932   0.36626



  Esso (N) 16/1-1                         

 WELL #  5 WITH  35 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   0.54944   0.45734
  2   1.00000   0.88613   0.41696
  3   2.00000   1.22786   0.37881
  4   3.00000   1.57463   0.34301
  5   4.00000   1.92645   0.30969
  6   5.00000   2.28331   0.27901
  7   6.00000   2.64522   0.25120
  8   7.00000   3.01217   0.22649
  9   8.00000   3.38416   0.20516
 10   9.00000   3.76120   0.18750
 11  10.00000   4.14328   0.17375
 12  11.00000   4.53041   0.16399
 13  12.00000   4.92258   0.15811
 14  13.00000   5.31980   0.15575
 15  14.00000   5.72206   0.15631
 16  15.00000   6.12936   0.15908
 17  16.00000   6.54171   0.16336
 18  17.00000   6.95911   0.16850
 19  18.00000   7.38154   0.17398
 20  19.00000   7.80902   0.17936
 21  20.00000   8.24155   0.18433
 22  21.00000   8.67912   0.18864
 23  22.00000   9.12173   0.19213
 24  23.00000   9.56939   0.19465
 25  24.00000  10.02209   0.19614
 26  25.00000  10.47984   0.19654
 27  26.00000  10.94263   0.19583
 28  27.00000  11.41046   0.19403
 29  28.00000  11.88334   0.19116
 30  29.00000  12.36126   0.18732
 31  30.00000  12.84423   0.18260
 32  31.00000  13.33224   0.17718
 33  32.00000  13.82530   0.17128
 34  33.00000  14.32340   0.16523
 35  34.00000  14.82654   0.15943
 36  35.00000  15.33473   0.15444
 37  36.00000  15.84796   0.15091
 38  37.00000  16.36624   0.14960
 39  38.00000  16.88956   0.15128
 40  39.00000  17.41793   0.15660
 41  40.00000  17.95134   0.16596
 42  41.00000  18.48979   0.17948
 43  42.00000  19.03329   0.19704
 44  43.00000  19.58183   0.21836
 45  44.00000  20.13541   0.24313
 46  45.00000  20.69404   0.27103
 47  46.00000  21.25772   0.30180
 48  47.00000  21.82644   0.33522
 49  48.00000  22.40020   0.37111
 50  49.00000  22.97901   0.40933
 51  50.00000  23.56286   0.44977
 52  51.00000  24.15175   0.49235
 53  52.00000  24.74569   0.53701
 54  53.00000  25.34468   0.58368
 55  54.00000  25.94871   0.63233



  Saga (N) 34/4-5                         

 WELL #  6 WITH  37 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   0.02106   0.36773
  2   1.00000   0.75158   0.33433
  3   2.00000   1.47254   0.30283
  4   3.00000   2.18395   0.27337
  5   4.00000   2.88580   0.24609
  6   5.00000   3.57809   0.22120
  7   6.00000   4.26081   0.19895
  8   7.00000   4.93399   0.17963
  9   8.00000   5.59760   0.16357
 10   9.00000   6.25165   0.15108
 11  10.00000   6.89614   0.14236
 12  11.00000   7.53108   0.13740
 13  12.00000   8.15646   0.13593
 14  13.00000   8.77227   0.13743
 15  14.00000   9.37853   0.14124
 16  15.00000   9.97523   0.14666
 17  16.00000  10.56238   0.15308
 18  17.00000  11.13996   0.15997
 19  18.00000  11.70798   0.16694
 20  19.00000  12.26645   0.17368
 21  20.00000  12.81535   0.17996
 22  21.00000  13.35470   0.18563
 23  22.00000  13.88449   0.19056
 24  23.00000  14.40472   0.19466
 25  24.00000  14.91539   0.19787
 26  25.00000  15.41650   0.20017
 27  26.00000  15.90806   0.20154
 28  27.00000  16.39005   0.20197
 29  28.00000  16.86249   0.20149
 30  29.00000  17.32537   0.20013
 31  30.00000  17.77868   0.19794
 32  31.00000  18.22244   0.19500
 33  32.00000  18.65664   0.19141
 34  33.00000  19.08129   0.18730
 35  34.00000  19.49637   0.18286
 36  35.00000  19.90190   0.17830
 37  36.00000  20.29786   0.17389
 38  37.00000  20.68427   0.16999
 39  38.00000  21.06112   0.16699
 40  39.00000  21.42841   0.16536
 41  40.00000  21.78614   0.16559
 42  41.00000  22.13431   0.16814
 43  42.00000  22.47292   0.17341
 44  43.00000  22.80198   0.18166
 45  44.00000  23.12147   0.19302
 46  45.00000  23.43141   0.20747
 47  46.00000  23.73179   0.22492
 48  47.00000  24.02261   0.24518
 49  48.00000  24.30387   0.26808
 50  49.00000  24.57557   0.29343
 51  50.00000  24.83771   0.32106
 52  51.00000  25.09030   0.35085
 53  52.00000  25.33332   0.38265
 54  53.00000  25.56679   0.41638
 55  54.00000  25.79070   0.45195



  Hydro (N) 6407/7-1                      

 WELL #  7 WITH  30 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000  -1.22418   1.90213
  2   1.00000  -1.12973   1.79037
  3   2.00000  -1.02192   1.68190
  4   3.00000  -0.90077   1.57674
  5   4.00000  -0.76626   1.47490
  6   5.00000  -0.61840   1.37638
  7   6.00000  -0.45719   1.28119
  8   7.00000  -0.28263   1.18935
  9   8.00000  -0.09472   1.10087
 10   9.00000   0.10655   1.01578
 11  10.00000   0.32116   0.93410
 12  11.00000   0.54913   0.85585
 13  12.00000   0.79044   0.78108
 14  13.00000   1.04511   0.70983
 15  14.00000   1.31313   0.64217
 16  15.00000   1.59449   0.57816
 17  16.00000   1.88921   0.51792
 18  17.00000   2.19728   0.46156
 19  18.00000   2.51870   0.40925
 20  19.00000   2.85348   0.36123
 21  20.00000   3.20160   0.31777
 22  21.00000   3.56307   0.27925
 23  22.00000   3.93790   0.24610
 24  23.00000   4.32608   0.21880
 25  24.00000   4.72760   0.19778
 26  25.00000   5.14248   0.18317
 27  26.00000   5.57071   0.17469
 28  27.00000   6.01229   0.17146
 29  28.00000   6.46722   0.17222
 30  29.00000   6.93550   0.17555
 31  30.00000   7.41714   0.18015
 32  31.00000   7.91212   0.18498
 33  32.00000   8.42045   0.18925
 34  33.00000   8.94214   0.19242
 35  34.00000   9.47718   0.19412
 36  35.00000  10.02556   0.19412
 37  36.00000  10.58730   0.19234
 38  37.00000  11.16239   0.18879
 39  38.00000  11.75083   0.18361
 40  39.00000  12.35262   0.17709
 41  40.00000  12.96777   0.16971
 42  41.00000  13.59626   0.16223
 43  42.00000  14.23810   0.15572
 44  43.00000  14.89330   0.15167
 45  44.00000  15.56185   0.15181
 46  45.00000  16.24374   0.15784
 47  46.00000  16.93899   0.17089
 48  47.00000  17.64759   0.19123
 49  48.00000  18.36954   0.21848
 50  49.00000  19.10484   0.25197
 51  50.00000  19.85349   0.29099
 52  51.00000  20.61550   0.33498
 53  52.00000  21.39085   0.38350
 54  53.00000  22.17955   0.43623
 55  54.00000  22.98161   0.49293



  6407/7A-1                               

 WELL #  8 WITH  10 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   2.01818   0.71985
  2   1.00000   1.95758   0.42283
  3   2.00000   2.01818   0.28868
  4   3.00000   2.20000   0.30896
  5   4.00000   2.50303   0.35248
  6   5.00000   2.92727   0.35248
  7   6.00000   3.47273   0.30896
  8   7.00000   4.13939   0.28868
  9   8.00000   4.92727   0.42283
 10   9.00000   5.83636   0.71985
 11  10.00000   6.86667   1.13284
 12  11.00000   8.01818   1.64363
 13  12.00000   9.29091   2.24621
 14  13.00000  10.68485   2.93825
 15  14.00000  12.20000   3.71871
 16  15.00000  13.83636   4.58704
 17  16.00000  15.59394   5.54295
 18  17.00000  17.47273   6.58626
 19  18.00000  19.47273   7.71686
 20  19.00000  21.59394   8.93470
 21  20.00000  23.83636  10.23970
 22  21.00000  26.20000  11.63185
 23  22.00000  28.68485  13.11112
 24  23.00000  31.29091  14.67749
 25  24.00000  34.01818  16.33095
 26  25.00000  36.86666  18.07149
 27  26.00000  39.83636  19.89910
 28  27.00000  42.92727  21.81378
 29  28.00000  46.13939  23.81552
 30  29.00000  49.47273  25.90431
 31  30.00000  52.92727  28.08016
 32  31.00000  56.50303  30.34306
 33  32.00000  60.20000  32.69302
 34  33.00000  64.01818  35.13002
 35  34.00000  67.95757  37.65407
 36  35.00000  72.01818  40.26516
 37  36.00000  76.20000  42.96330
 38  37.00000  80.50303  45.74849
 39  38.00000  84.92727  48.62072
 40  39.00000  89.47272  51.57999
 41  40.00000  94.13940  54.62630
 42  41.00000  98.92727  57.75966
 43  42.00000 103.83636  60.98006
 44  43.00000 108.86667  64.28751
 45  44.00000 114.01818  67.68199
 46  45.00000 119.29091  71.16351
 47  46.00000 124.68484  74.73208
 48  47.00000 130.20000  78.38768
 49  48.00000 135.83636  82.13033
 50  49.00000 141.59393  85.96001
 51  50.00000 147.47273  89.87674
 52  51.00000 153.47273  93.88051
 53  52.00000 159.59393  97.97131
