                14cen.lli.out                                       2006/11/28

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 53  52.00000  26.21055   0.38317
 54  53.00000  26.74413   0.41713
 55  54.00000  27.27835   0.45284



  Hydro (N) 34/8-1                        

 WELL #  4 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   0.87850   0.37724
  2   1.00000   1.29752   0.34715
  3   2.00000   1.72394   0.31871
  4   3.00000   2.15777   0.29198
  5   4.00000   2.59900   0.26706
  6   5.00000   3.04764   0.24406
  7   6.00000   3.50368   0.22311
  8   7.00000   3.96712   0.20434
  9   8.00000   4.43797   0.18792
 10   9.00000   4.91623   0.17398
 11  10.00000   5.40189   0.16264
 12  11.00000   5.89495   0.15395
 13  12.00000   6.39542   0.14786
 14  13.00000   6.90329   0.14420
 15  14.00000   7.41856   0.14270
 16  15.00000   7.94125   0.14299
 17  16.00000   8.47133   0.14465
 18  17.00000   9.00882   0.14729
 19  18.00000   9.55371   0.15053
 20  19.00000  10.10601   0.15404
 21  20.00000  10.66571   0.15757
 22  21.00000  11.23282   0.16090
 23  22.00000  11.80733   0.16386
 24  23.00000  12.38925   0.16632
 25  24.00000  12.97857   0.16817
 26  25.00000  13.57529   0.16935
 27  26.00000  14.17942   0.16980
 28  27.00000  14.79096   0.16949
 29  28.00000  15.40989   0.16840
 30  29.00000  16.03624   0.16653
 31  30.00000  16.66998   0.16391
 32  31.00000  17.31113   0.16056
 33  32.00000  17.95969   0.15656
 34  33.00000  18.61565   0.15198
 35  34.00000  19.27901   0.14695
 36  35.00000  19.94978   0.14163
 37  36.00000  20.62796   0.13626
 38  37.00000  21.31353   0.13113
 39  38.00000  22.00652   0.12661
 40  39.00000  22.70690   0.12317
 41  40.00000  23.41469   0.12136
 42  41.00000  24.12989   0.12172
 43  42.00000  24.85249   0.12474
 44  43.00000  25.58249   0.13075
 45  44.00000  26.31990   0.13989
 46  45.00000  27.06471   0.15209
 47  46.00000  27.81693   0.16718
 48  47.00000  28.57655   0.18491
 49  48.00000  29.34358   0.20503
 50  49.00000  30.11801   0.22735
 51  50.00000  30.89985   0.25166
 52  51.00000  31.68908   0.27782
 53  52.00000  32.48573   0.30572
 54  53.00000  33.28978   0.33525
 55  54.00000  34.10123   0.36636



  Esso (N) 16/1-1                         

 WELL #  5 WITH  35 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   0.58467   0.45721
  2   1.00000   0.92433   0.41669
  3   2.00000   1.26887   0.37842
  4   3.00000   1.61828   0.34249
  5   4.00000   1.97256   0.30905
  6   5.00000   2.33171   0.27825
  7   6.00000   2.69574   0.25033
  8   7.00000   3.06464   0.22552
  9   8.00000   3.43841   0.20411
 10   9.00000   3.81705   0.18641
 11  10.00000   4.20057   0.17264
 12  11.00000   4.58895   0.16291
 13  12.00000   4.98221   0.15711
 14  13.00000   5.38035   0.15486
 15  14.00000   5.78335   0.15557
 16  15.00000   6.19123   0.15850
 17  16.00000   6.60398   0.16294
 18  17.00000   7.02160   0.16825
 19  18.00000   7.44410   0.17387
 20  19.00000   7.87147   0.17938
 21  20.00000   8.30371   0.18448
 22  21.00000   8.74082   0.18890
 23  22.00000   9.18280   0.19249
 24  23.00000   9.62966   0.19511
 25  24.00000  10.08139   0.19668
 26  25.00000  10.53799   0.19716
 27  26.00000  10.99947   0.19652
 28  27.00000  11.46581   0.19478
 29  28.00000  11.93703   0.19197
 30  29.00000  12.41312   0.18818
 31  30.00000  12.89409   0.18352
 32  31.00000  13.37992   0.17814
 33  32.00000  13.87063   0.17229
 34  33.00000  14.36621   0.16627
 35  34.00000  14.86667   0.16050
 36  35.00000  15.37199   0.15552
 37  36.00000  15.88219   0.15198
 38  37.00000  16.39726   0.15065
 39  38.00000  16.91721   0.15228
 40  39.00000  17.44202   0.15752
 41  40.00000  17.97171   0.16679
 42  41.00000  18.50627   0.18022
 43  42.00000  19.04570   0.19769
 44  43.00000  19.59001   0.21893
 45  44.00000  20.13919   0.24363
 46  45.00000  20.69324   0.27148
 47  46.00000  21.25216   0.30222
 48  47.00000  21.81595   0.33561
 49  48.00000  22.38462   0.37149
 50  49.00000  22.95816   0.40971
 51  50.00000  23.53657   0.45017
 52  51.00000  24.11986   0.49277
 53  52.00000  24.70802   0.53746
 54  53.00000  25.30104   0.58417
 55  54.00000  25.89895   0.63286



  Saga (N) 34/4-5                         

 WELL #  6 WITH  37 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000  -0.00956   0.36815
  2   1.00000   0.72805   0.33457
  3   2.00000   1.45580   0.30291
