                27cenai.out                                         2007/03/15

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  60 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 69  68.00000  26.32208   0.10716
 70  69.00000  26.73421   0.10791
 71  70.00000  27.14727   0.10958
 72  71.00000  27.56125   0.11226
 73  72.00000  27.97615   0.11598
 74  73.00000  28.39198   0.12076
 75  74.00000  28.80873   0.12658
 76  75.00000  29.22640   0.13343
 77  76.00000  29.64499   0.14125
 78  77.00000  30.06451   0.15000
 79  78.00000  30.48495   0.15963
 80  79.00000  30.90631   0.17009
 81  80.00000  31.32860   0.18132
 82  81.00000  31.75180   0.19329
 83  82.00000  32.17593   0.20595
 84  83.00000  32.60099   0.21927
 85  84.00000  33.02696   0.23322
 86  85.00000  33.45386   0.24777
 87  86.00000  33.88168   0.26290
 88  87.00000  34.31043   0.27859
 89  88.00000  34.74009   0.29483
 90  89.00000  35.17068   0.31160
 91  90.00000  35.60220   0.32888
 92  91.00000  36.03463   0.34666
 93  92.00000  36.46799   0.36494
 94  93.00000  36.90227   0.38371
 95  94.00000  37.33747   0.40296
 96  95.00000  37.77360   0.42268
 97  96.00000  38.21065   0.44287
 98  97.00000  38.64862   0.46353



  Elf Aquitaine (N) 6406/8-1              

 WELL #  3 WITH  57 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000  -1.23695   0.39764
  2   1.00000  -0.83490   0.37892
  3   2.00000  -0.43299   0.36070
  4   3.00000  -0.03124   0.34300
  5   4.00000   0.37037   0.32582
  6   5.00000   0.77183   0.30918
  7   6.00000   1.17315   0.29308
  8   7.00000   1.57432   0.27755
  9   8.00000   1.97533   0.26258
 10   9.00000   2.37620   0.24820
 11  10.00000   2.77693   0.23442
 12  11.00000   3.17750   0.22127
 13  12.00000   3.57793   0.20876
 14  13.00000   3.97821   0.19692
 15  14.00000   4.37834   0.18578
 16  15.00000   4.77832   0.17535
 17  16.00000   5.17816   0.16568
 18  17.00000   5.57785   0.15679
 19  18.00000   5.97739   0.14871
 20  19.00000   6.37678   0.14147
 21  20.00000   6.77602   0.13508
 22  21.00000   7.17512   0.12956
 23  22.00000   7.57407   0.12491
 24  23.00000   7.97287   0.12112
 25  24.00000   8.37152   0.11815
 26  25.00000   8.77002   0.11598
 27  26.00000   9.16838   0.11452
 28  27.00000   9.56659   0.11372
 29  28.00000   9.96465   0.11350
 30  29.00000  10.36256   0.11376
 31  30.00000  10.76033   0.11442
 32  31.00000  11.15795   0.11540
 33  32.00000  11.55542   0.11661
 34  33.00000  11.95274   0.11799
 35  34.00000  12.34991   0.11947
 36  35.00000  12.74694   0.12098
 37  36.00000  13.14382   0.12248
 38  37.00000  13.54055   0.12392
 39  38.00000  13.93713   0.12527
 40  39.00000  14.33357   0.12650
 41  40.00000  14.72985   0.12758
 42  41.00000  15.12599   0.12848
 43  42.00000  15.52198   0.12920
 44  43.00000  15.91783   0.12972
 45  44.00000  16.31352   0.13004
 46  45.00000  16.70907   0.13014
 47  46.00000  17.10447   0.13003
